# CSV Header Block - Version 2
# exchange,binance
# market,spot
# symbol,UNIUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2020-10-08T15:00:00+00:00Z
# t0_final_iso,2020-10-08T15:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,true
# t0_rule,api_boundary_then_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,69c612f73f267cd2
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2020-10-08T15:00:00+00:00Z,2020-10-08T15:59:59.999000+00:00Z,3.227,3.3674,3.1731,3.2877,3344085.12,10946391.500936,24990,1723013.96,5644724.426645
2020-10-08T16:00:00+00:00Z,2020-10-08T16:59:59.999000+00:00Z,3.2848,3.3849,3.24,3.2699,2404588.71,7932000.559819,22929,1216597.5,4013410.407471
2020-10-08T17:00:00+00:00Z,2020-10-08T17:59:59.999000+00:00Z,3.2722,3.2923,3.1588,3.2,1358797.23,4376779.152565,15139,656549.38,2114943.350122
2020-10-08T18:00:00+00:00Z,2020-10-08T18:59:59.999000+00:00Z,3.2,3.2627,3.17,3.2368,552247.6,1780503.615165,5669,288361.92,930261.297822
2020-10-08T19:00:00+00:00Z,2020-10-08T19:59:59.999000+00:00Z,3.2368,3.2774,3.2157,3.2588,338207.46,1098637.953124,4070,167792.37,545206.632765
2020-10-08T20:00:00+00:00Z,2020-10-08T20:59:59.999000+00:00Z,3.2589,3.3838,3.212,3.3463,720171.32,2372347.765358,6712,389883.04,1285650.629921
2020-10-08T21:00:00+00:00Z,2020-10-08T21:59:59.999000+00:00Z,3.3495,3.4367,3.2986,3.372,944029.5,3187124.791651,7704,445757.47,1504892.37118
2020-10-08T22:00:00+00:00Z,2020-10-08T22:59:59.999000+00:00Z,3.372,3.4654,3.351,3.3814,989809.46,3379005.716015,8533,502070.58,1715802.996465
2020-10-08T23:00:00+00:00Z,2020-10-08T23:59:59.999000+00:00Z,3.3797,3.3896,3.2605,3.3499,732152.4,2427257.08529,6609,337761.08,1120114.517726
2020-10-09T00:00:00+00:00Z,2020-10-09T00:59:59.999000+00:00Z,3.3499,3.3664,3.2188,3.2592,836998.45,2747844.456051,7119,413488.52,1357803.189204
2020-10-09T01:00:00+00:00Z,2020-10-09T01:59:59.999000+00:00Z,3.2592,3.3284,3.2471,3.2982,443497.4,1457710.836649,3959,252411.02,829711.384708
2020-10-09T02:00:00+00:00Z,2020-10-09T02:59:59.999000+00:00Z,3.2973,3.3406,3.2735,3.3014,296922.05,982571.213903,2683,161976.8,536063.211663
2020-10-09T03:00:00+00:00Z,2020-10-09T03:59:59.999000+00:00Z,3.3014,3.3142,3.2532,3.2538,230193.33,754824.256002,2273,110435.4,362341.840007
2020-10-09T04:00:00+00:00Z,2020-10-09T04:59:59.999000+00:00Z,3.2561,3.2763,3.1891,3.2204,418107.24,1348921.581693,3463,182838.05,590267.082073
2020-10-09T05:00:00+00:00Z,2020-10-09T05:59:59.999000+00:00Z,3.2197,3.2719,3.19,3.199,361921.22,1167664.514027,2775,137470.09,444615.781155
2020-10-09T06:00:00+00:00Z,2020-10-09T06:59:59.999000+00:00Z,3.1966,3.253,3.1749,3.2245,414581.96,1331637.802322,3240,188837.63,606729.588264
2020-10-09T07:00:00+00:00Z,2020-10-09T07:59:59.999000+00:00Z,3.2253,3.352,3.2163,3.3411,647215.69,2140822.516305,5324,375992.63,1242731.47852
