# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,METHUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2023-12-08T08:00:00+00:00Z
# t0_final_iso,2023-12-08T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,81437e98e2ff955f
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2023-12-08T08:00:00+00:00Z,2023-12-08T09:00:00+00:00Z,2200.0,2888.0,2200.0,2330.8,370.51099,881946.6815878,0,0,0
2023-12-08T09:00:00+00:00Z,2023-12-08T10:00:00+00:00Z,2330.8,2373.99,2265.0,2365.53,43.11674,100648.8457846,0,0,0
2023-12-08T10:00:00+00:00Z,2023-12-08T11:00:00+00:00Z,2365.53,2375.0,2332.0,2369.0,13.29587,31372.8228349,0,0,0
2023-12-08T11:00:00+00:00Z,2023-12-08T12:00:00+00:00Z,2369.0,2390.0,2341.56,2383.78,8.98631,21296.1110085,0,0,0
2023-12-08T12:00:00+00:00Z,2023-12-08T13:00:00+00:00Z,2383.78,2385.22,2355.5,2370.02,6.48937,15397.0556237,0,0,0
2023-12-08T13:00:00+00:00Z,2023-12-08T14:00:00+00:00Z,2370.02,2374.9,2335.02,2340.6,4.81719,11347.6694628,0,0,0
2023-12-08T14:00:00+00:00Z,2023-12-08T15:00:00+00:00Z,2340.6,2379.12,2335.0,2374.0,2.45799,5805.7582126,0,0,0
2023-12-08T15:00:00+00:00Z,2023-12-08T16:00:00+00:00Z,2374.0,2389.87,2341.02,2358.84,21.3905,50408.4625467,0,0,0
2023-12-08T16:00:00+00:00Z,2023-12-08T17:00:00+00:00Z,2358.84,2372.86,2342.02,2370.22,2.80051,6618.0713892,0,0,0
2023-12-08T17:00:00+00:00Z,2023-12-08T18:00:00+00:00Z,2370.22,2371.9,2336.0,2342.0,1.67397,3930.864443,0,0,0
2023-12-08T18:00:00+00:00Z,2023-12-08T19:00:00+00:00Z,2342.0,2365.32,2342.0,2362.94,0.15692,369.0470419,0,0,0
2023-12-08T19:00:00+00:00Z,2023-12-08T20:00:00+00:00Z,2362.94,2371.11,2345.73,2346.08,2.53863,5995.346285,0,0,0
2023-12-08T20:00:00+00:00Z,2023-12-08T21:00:00+00:00Z,2346.08,2373.0,2346.08,2373.0,1.7535,4147.1997661,0,0,0
2023-12-08T21:00:00+00:00Z,2023-12-08T22:00:00+00:00Z,2373.0,2388.0,2347.01,2379.0,2.13564,5075.7976297,0,0,0
2023-12-08T22:00:00+00:00Z,2023-12-08T23:00:00+00:00Z,2379.0,2379.13,2336.0,2372.63,1.68549,3971.5260458,0,0,0
2023-12-08T23:00:00+00:00Z,2023-12-09T00:00:00+00:00Z,2372.63,2379.43,2336.31,2365.74,2.04759,4862.1875966,0,0,0
2023-12-09T00:00:00+00:00Z,2023-12-09T01:00:00+00:00Z,2365.74,2373.41,2365.74,2372.69,0.49856,1182.5926901,0,0,0
2023-12-09T01:00:00+00:00Z,2023-12-09T02:00:00+00:00Z,2372.69,2372.69,2358.78,2361.65,0.4428,1046.1620311,0,0,0
2023-12-09T02:00:00+00:00Z,2023-12-09T03:00:00+00:00Z,2361.65,2370.55,2359.5,2360.3,0.10333,244.1007236,0,0,0
2023-12-09T03:00:00+00:00Z,2023-12-09T04:00:00+00:00Z,2360.3,2369.18,2360.3,2367.26,0.29566,699.892429,0,0,0
2023-12-09T04:00:00+00:00Z,2023-12-09T05:00:00+00:00Z,2367.26,2377.0,2367.26,2377.0,1.17356,2787.6661567,0,0,0
2023-12-09T05:00:00+00:00Z,2023-12-09T06:00:00+00:00Z,2377.0,2386.69,2335.0,2379.95,2.30977,5478.5112629,0,0,0
2023-12-09T06:00:00+00:00Z,2023-12-09T07:00:00+00:00Z,2379.95,2390.0,2335.5,2386.07,2.49808,5957.0696918,0,0,0
2023-12-09T07:00:00+00:00Z,2023-12-09T08:00:00+00:00Z,2386.07,2400.0,2383.44,2392.79,2.76416,6622.5475204,0,0,0
2023-12-09T08:00:00+00:00Z,2023-12-09T09:00:00+00:00Z,2392.79,2414.59,2372.94,2372.94,1.02228,2449.9586945,0,0,0
2023-12-09T09:00:00+00:00Z,2023-12-09T10:00:00+00:00Z,2372.94,2389.58,2367.14,2369.0,0.53453,1267.1810672,0,0,0
2023-12-09T10:00:00+00:00Z,2023-12-09T11:00:00+00:00Z,2369.0,2375.9,2366.18,2369.06,1.55311,3686.1522672,0,0,0
2023-12-09T11:00:00+00:00Z,2023-12-09T12:00:00+00:00Z,2369.06,2377.82,2356.03,2374.5,1.03836,2452.6206812,0,0,0
