# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,HFTUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2022-11-07T14:00:00+00:00Z
# t0_final_iso,2022-11-07T14:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,ccd45b103cf18a52
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2022-11-07T14:00:00+00:00Z,2022-11-07T15:00:00+00:00Z,0.15,2.0,0.15,1.1753,793443.01,930516.782943,0,0,0
2022-11-07T15:00:00+00:00Z,2022-11-07T16:00:00+00:00Z,1.1753,1.2646,1.058,1.1861,312387.94,364563.936509,0,0,0
2022-11-07T16:00:00+00:00Z,2022-11-07T17:00:00+00:00Z,1.1861,1.205,1.1015,1.1305,205604.38,238458.051552,0,0,0
2022-11-07T17:00:00+00:00Z,2022-11-07T18:00:00+00:00Z,1.1305,1.1333,1.0138,1.0302,387895.28,409997.703102,0,0,0
2022-11-07T18:00:00+00:00Z,2022-11-07T19:00:00+00:00Z,1.0302,1.0381,0.95,1.0143,420875.97,421858.106256,0,0,0
2022-11-07T19:00:00+00:00Z,2022-11-07T20:00:00+00:00Z,1.0143,1.0532,0.9981,1.0283,175913.19,181456.263278,0,0,0
2022-11-07T20:00:00+00:00Z,2022-11-07T21:00:00+00:00Z,1.0283,1.0883,1.021,1.0396,154251.92,163443.078031,0,0,0
2022-11-07T21:00:00+00:00Z,2022-11-07T22:00:00+00:00Z,1.0396,1.0637,0.985,1.0179,93552.91,95782.706062,0,0,0
2022-11-07T22:00:00+00:00Z,2022-11-07T23:00:00+00:00Z,1.0179,1.0698,0.998,1.0683,178888.6,185105.52216,0,0,0
2022-11-07T23:00:00+00:00Z,2022-11-08T00:00:00+00:00Z,1.0683,1.08,1.0189,1.0282,137610.39,143152.781402,0,0,0
2022-11-08T00:00:00+00:00Z,2022-11-08T01:00:00+00:00Z,1.0282,1.1617,1.0261,1.0714,161183.01,177035.223366,0,0,0
2022-11-08T01:00:00+00:00Z,2022-11-08T02:00:00+00:00Z,1.0714,1.136,1.0588,1.0795,157650.18,172926.303485,0,0,0
2022-11-08T02:00:00+00:00Z,2022-11-08T03:00:00+00:00Z,1.0795,1.0955,1.012,1.0123,107257.11,114043.798482,0,0,0
2022-11-08T03:00:00+00:00Z,2022-11-08T04:00:00+00:00Z,1.0123,1.0348,0.9598,0.9662,287369.7,285626.50894,0,0,0
2022-11-08T04:00:00+00:00Z,2022-11-08T05:00:00+00:00Z,0.9662,0.9907,0.8523,0.8745,226594.55,207683.423236,0,0,0
2022-11-08T05:00:00+00:00Z,2022-11-08T06:00:00+00:00Z,0.8745,0.9165,0.8409,0.9061,348740.64,308426.346868,0,0,0
2022-11-08T06:00:00+00:00Z,2022-11-08T07:00:00+00:00Z,0.9061,0.9859,0.8923,0.9362,117448.14,109949.52225,0,0,0
2022-11-08T07:00:00+00:00Z,2022-11-08T08:00:00+00:00Z,0.9362,0.955,0.9091,0.9265,66989.35,62530.772818,0,0,0
2022-11-08T08:00:00+00:00Z,2022-11-08T09:00:00+00:00Z,0.9265,0.9343,0.8835,0.9169,108699.03,99254.024395,0,0,0
2022-11-08T09:00:00+00:00Z,2022-11-08T10:00:00+00:00Z,0.9169,0.9487,0.9062,0.9381,99265.98,92413.186287,0,0,0
2022-11-08T10:00:00+00:00Z,2022-11-08T11:00:00+00:00Z,0.9381,0.9541,0.9226,0.9268,63417.22,59417.040564,0,0,0
2022-11-08T11:00:00+00:00Z,2022-11-08T12:00:00+00:00Z,0.9268,0.9271,0.8816,0.905,181055.0,163929.521167,0,0,0
2022-11-08T12:00:00+00:00Z,2022-11-08T13:00:00+00:00Z,0.905,0.9438,0.9009,0.9288,69680.21,64114.986604,0,0,0
2022-11-08T13:00:00+00:00Z,2022-11-08T14:00:00+00:00Z,0.9288,0.9288,0.8629,0.8682,74450.66,66639.760578,0,0,0
2022-11-08T14:00:00+00:00Z,2022-11-08T15:00:00+00:00Z,0.8682,0.891,0.8127,0.8157,298152.02,250997.175904,0,0,0
2022-11-08T15:00:00+00:00Z,2022-11-08T16:00:00+00:00Z,0.8157,0.8336,0.7812,0.8186,228589.53,184914.567398,0,0,0
2022-11-08T16:00:00+00:00Z,2022-11-08T17:00:00+00:00Z,0.8186,0.9845,0.811,0.911,542549.23,497541.574053,0,0,0
2022-11-08T17:00:00+00:00Z,2022-11-08T18:00:00+00:00Z,0.911,0.9293,0.834,0.8482,415697.66,369359.859825,0,0,0
2022-11-08T18:00:00+00:00Z,2022-11-08T19:00:00+00:00Z,0.8482,0.8495,0.7802,0.7822,329413.77,269697.308244,0,0,0
2022-11-08T19:00:00+00:00Z,2022-11-08T20:00:00+00:00Z,0.7822,0.8113,0.6653,0.7132,337028.98,249851.303442,0,0,0
2022-11-08T20:00:00+00:00Z,2022-11-08T21:00:00+00:00Z,0.7132,0.7621,0.6904,0.7401,199027.4,144893.369728,0,0,0
2022-11-08T21:00:00+00:00Z,2022-11-08T22:00:00+00:00Z,0.7401,0.7751,0.7335,0.7652,68416.65,51622.310198,0,0,0
2022-11-08T22:00:00+00:00Z,2022-11-08T23:00:00+00:00Z,0.7652,0.7729,0.6936,0.6945,111324.42,80728.685399,0,0,0
2022-11-08T23:00:00+00:00Z,2022-11-09T00:00:00+00:00Z,0.6945,0.7313,0.6005,0.6278,282642.73,184255.715625,0,0,0
2022-11-09T00:00:00+00:00Z,2022-11-09T01:00:00+00:00Z,0.6278,0.6512,0.6042,0.6331,301320.85,187826.448035,0,0,0
2022-11-09T01:00:00+00:00Z,2022-11-09T02:00:00+00:00Z,0.6331,0.6761,0.6121,0.636,104575.81,68053.01052,0,0,0
2022-11-09T02:00:00+00:00Z,2022-11-09T03:00:00+00:00Z,0.636,0.6863,0.6176,0.6224,99883.47,64755.151651,0,0,0
2022-11-09T03:00:00+00:00Z,2022-11-09T04:00:00+00:00Z,0.6224,0.6496,0.59,0.6488,174643.96,108415.591358,0,0,0
2022-11-09T04:00:00+00:00Z,2022-11-09T05:00:00+00:00Z,0.6488,0.678,0.6218,0.6218,110517.21,71701.260581,0,0,0
