# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,QNTUSDT
# window,72h
# bars_expected,72
# bars_actual,72
# t0_raw_iso,2021-10-22T10:00:00+00:00Z
# t0_final_iso,2021-10-22T10:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,10
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,a132ea39d95fc3dc
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-10-22T10:00:00+00:00Z,2021-10-22T11:00:00+00:00Z,287.5,287.8,285.7,286.2,4.905,1406.3272,0,0,0
2021-10-22T11:00:00+00:00Z,2021-10-22T12:00:00+00:00Z,286.2,289.6,286.2,289.1,4.848,1394.4309,0,0,0
2021-10-22T12:00:00+00:00Z,2021-10-22T13:00:00+00:00Z,289.1,291.3,288.2,288.8,4.844,1402.2494,0,0,0
2021-10-22T13:00:00+00:00Z,2021-10-22T14:00:00+00:00Z,288.8,289.3,285.4,285.4,5.748,1651.8739,0,0,0
2021-10-22T14:00:00+00:00Z,2021-10-22T15:00:00+00:00Z,285.4,287.8,283.1,287.8,5.811,1655.4368,0,0,0
2021-10-22T15:00:00+00:00Z,2021-10-22T16:00:00+00:00Z,287.8,287.8,281.4,282.7,5.164,1466.9201,0,0,0
2021-10-22T16:00:00+00:00Z,2021-10-22T17:00:00+00:00Z,282.7,286.4,279.8,285.8,4.662,1323.9821,0,0,0
2021-10-22T17:00:00+00:00Z,2021-10-22T18:00:00+00:00Z,285.8,288.5,282.5,284.4,4.897,1393.5916,0,0,0
2021-10-22T18:00:00+00:00Z,2021-10-22T19:00:00+00:00Z,284.4,285.6,283.4,284.4,4.862,1383.9529,0,0,0
2021-10-22T19:00:00+00:00Z,2021-10-22T20:00:00+00:00Z,284.4,286.6,281.8,285.0,4.428,1261.1173,0,0,0
2021-10-22T20:00:00+00:00Z,2021-10-22T21:00:00+00:00Z,285.0,291.5,284.0,288.5,4.308,1238.1718,0,0,0
2021-10-22T21:00:00+00:00Z,2021-10-22T22:00:00+00:00Z,288.5,290.0,287.1,288.0,4.529,1307.2536,0,0,0
2021-10-22T22:00:00+00:00Z,2021-10-22T23:00:00+00:00Z,288.0,288.0,284.5,286.2,4.312,1237.9434,0,0,0
2021-10-22T23:00:00+00:00Z,2021-10-23T00:00:00+00:00Z,286.2,288.6,285.3,287.3,4.794,1374.2862,0,0,0
2021-10-23T00:00:00+00:00Z,2021-10-23T01:00:00+00:00Z,287.3,288.6,286.1,287.2,4.727,1357.6142,0,0,0
2021-10-23T01:00:00+00:00Z,2021-10-23T02:00:00+00:00Z,287.2,289.2,286.3,288.2,4.611,1326.8162,0,0,0
2021-10-23T02:00:00+00:00Z,2021-10-23T03:00:00+00:00Z,288.2,290.0,288.1,289.2,4.472,1293.699,0,0,0
2021-10-23T03:00:00+00:00Z,2021-10-23T04:00:00+00:00Z,289.2,290.8,288.3,288.3,4.338,1258.5228,0,0,0
2021-10-23T04:00:00+00:00Z,2021-10-23T05:00:00+00:00Z,288.3,290.6,288.2,289.7,4.713,1364.1829,0,0,0
2021-10-23T05:00:00+00:00Z,2021-10-23T06:00:00+00:00Z,289.7,289.8,287.9,289.0,4.184,1208.2659,0,0,0
2021-10-23T06:00:00+00:00Z,2021-10-23T07:00:00+00:00Z,289.0,289.0,285.4,286.9,5.135,1470.2061,0,0,0
2021-10-23T07:00:00+00:00Z,2021-10-23T08:00:00+00:00Z,286.9,290.6,285.6,288.7,8.748,2514.1574,0,0,0
2021-10-23T08:00:00+00:00Z,2021-10-23T09:00:00+00:00Z,288.7,289.5,286.9,288.5,4.595,1324.1211,0,0,0
2021-10-23T09:00:00+00:00Z,2021-10-23T10:00:00+00:00Z,288.5,289.7,286.3,289.5,4.515,1300.5766,0,0,0
2021-10-23T10:00:00+00:00Z,2021-10-23T11:00:00+00:00Z,289.5,290.7,288.5,288.5,4.422,1282.3558,0,0,0
2021-10-23T11:00:00+00:00Z,2021-10-23T12:00:00+00:00Z,288.5,292.0,286.9,289.5,4.946,1433.3504,0,0,0
2021-10-23T12:00:00+00:00Z,2021-10-23T13:00:00+00:00Z,289.5,291.2,288.5,291.2,4.534,1314.7326,0,0,0
2021-10-23T13:00:00+00:00Z,2021-10-23T14:00:00+00:00Z,291.2,292.0,290.0,291.6,4.595,1336.6114,0,0,0
2021-10-23T14:00:00+00:00Z,2021-10-23T15:00:00+00:00Z,291.6,295.3,290.0,291.8,5.03,1471.6216,0,0,0
2021-10-23T15:00:00+00:00Z,2021-10-23T16:00:00+00:00Z,291.8,293.4,288.6,291.8,5.328,1553.312,0,0,0
2021-10-23T16:00:00+00:00Z,2021-10-23T17:00:00+00:00Z,291.8,297.8,291.3,293.4,12.465,3679.9386,0,0,0
2021-10-23T17:00:00+00:00Z,2021-10-23T18:00:00+00:00Z,293.4,302.4,293.4,297.8,4.002,1187.6182,0,0,0
