# CSV Header Block - Version 2
# exchange,bybit
# market,spot
# symbol,AVAXUSDT
# window,5d
# bars_expected,120
# bars_actual,120
# t0_raw_iso,2021-11-12T08:00:00+00:00Z
# t0_final_iso,2021-11-12T08:00:00+00:00Z
# t0_offset_hours,0
# pre_t0_any_data,false
# t0_rule,bybit_binary_search_first_volume_gt_0
# continuity_gaps,0
# verification_samples,20
# verification_mismatches,0
# commit_hash,dev
# schema_version,2.0
# csv_sha256,9173f859dca8b2ad
# time_base,UTC

open_time_iso,close_time_iso,open,high,low,close,volume,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume
2021-11-12T08:00:00+00:00Z,2021-11-12T09:00:00+00:00Z,86.4486,86.4568,85.5208,85.6163,29.348,2521.4110088,0,0,0
2021-11-12T09:00:00+00:00Z,2021-11-12T10:00:00+00:00Z,85.6163,86.0419,83.2838,83.7859,48.024,4070.3542267,0,0,0
2021-11-12T10:00:00+00:00Z,2021-11-12T11:00:00+00:00Z,83.7859,84.3918,82.6791,83.0243,47.357,3962.724372,0,0,0
2021-11-12T11:00:00+00:00Z,2021-11-12T12:00:00+00:00Z,83.0243,83.9897,82.1766,83.0188,46.023,3833.8824499,0,0,0
2021-11-12T12:00:00+00:00Z,2021-11-12T13:00:00+00:00Z,83.0188,84.2299,82.4236,83.3649,49.358,4120.9341707,0,0,0
2021-11-12T13:00:00+00:00Z,2021-11-12T14:00:00+00:00Z,83.3649,83.8503,81.9437,82.9892,45.275,3745.3437384,0,0,0
2021-11-12T14:00:00+00:00Z,2021-11-12T15:00:00+00:00Z,82.9892,83.2471,82.5743,82.6155,54.484,4519.3017904,0,0,0
2021-11-12T15:00:00+00:00Z,2021-11-12T16:00:00+00:00Z,82.6155,83.3507,82.0,82.4975,88.539,7308.615722,0,0,0
2021-11-12T16:00:00+00:00Z,2021-11-12T17:00:00+00:00Z,82.4975,83.0673,81.1905,82.8576,91.544,7493.1689265,0,0,0
2021-11-12T17:00:00+00:00Z,2021-11-12T18:00:00+00:00Z,82.8576,84.0513,82.5247,84.0513,238.507,19904.6868033,0,0,0
2021-11-12T18:00:00+00:00Z,2021-11-12T19:00:00+00:00Z,84.0513,85.1434,83.388,83.444,62.272,5234.8510854,0,0,0
2021-11-12T19:00:00+00:00Z,2021-11-12T20:00:00+00:00Z,83.444,83.8212,82.7737,83.2007,40.742,3396.5627657,0,0,0
2021-11-12T20:00:00+00:00Z,2021-11-12T21:00:00+00:00Z,83.2007,85.2873,83.2007,84.863,52.353,4424.1847905,0,0,0
2021-11-12T21:00:00+00:00Z,2021-11-12T22:00:00+00:00Z,84.863,85.9068,84.863,85.3623,49.216,4207.4966635,0,0,0
2021-11-12T22:00:00+00:00Z,2021-11-12T23:00:00+00:00Z,85.3623,85.6335,84.1459,84.146,234.83,19796.4606856,0,0,0
2021-11-12T23:00:00+00:00Z,2021-11-13T00:00:00+00:00Z,84.146,85.1067,84.146,85.0006,43.104,3648.1143077,0,0,0
2021-11-13T00:00:00+00:00Z,2021-11-13T01:00:00+00:00Z,85.0006,86.88,84.757,86.5064,190.952,16494.724438,0,0,0
2021-11-13T01:00:00+00:00Z,2021-11-13T02:00:00+00:00Z,86.5064,86.5115,85.0,85.3566,42.091,3609.0121275,0,0,0
2021-11-13T02:00:00+00:00Z,2021-11-13T03:00:00+00:00Z,85.3566,86.2475,85.0,85.6407,37.265,3188.8540479,0,0,0
2021-11-13T03:00:00+00:00Z,2021-11-13T04:00:00+00:00Z,85.6407,86.9529,85.6177,86.1412,44.299,3812.8369492,0,0,0
2021-11-13T04:00:00+00:00Z,2021-11-13T05:00:00+00:00Z,86.1412,86.3507,85.6077,86.0,42.688,3672.0903276,0,0,0
